"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/home/vis/Desktop/dbms_project/frontend/src/api/brand-calls.js", "JavaScript", 58, 0, 0, 0, 11, 69
"/home/vis/Desktop/dbms_project/frontend/src/api/customer-calls.js", "JavaScript", 22, 0, 0, 1, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/api/employee-call.js", "JavaScript", 197, 0, 0, 1, 57, 255
"/home/vis/Desktop/dbms_project/frontend/src/api/facility-calls.js", "JavaScript", 98, 0, 0, 0, 13, 111
"/home/vis/Desktop/dbms_project/frontend/src/api/login-calls.js", "JavaScript", 21, 0, 0, 0, 8, 29
"/home/vis/Desktop/dbms_project/frontend/src/api/product-calls.js", "JavaScript", 1, 0, 0, 0, 1, 2
"/home/vis/Desktop/dbms_project/frontend/src/api/sales-call.js", "JavaScript", 21, 0, 0, 2, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/api/stock-calls.js", "JavaScript", 21, 0, 0, 2, 14, 37
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-brand/page.jsx", "JavaScript JSX", 0, 63, 0, 0, 14, 77
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-employee/page.jsx", "JavaScript JSX", 0, 220, 0, 13, 34, 267
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/add-facility/page.jsx", "JavaScript JSX", 0, 89, 0, 1, 26, 116
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/brand/page.jsx", "JavaScript JSX", 0, 258, 0, 7, 51, 316
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/customers/page.jsx", "JavaScript JSX", 0, 201, 0, 17, 43, 261
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/employee/page.jsx", "JavaScript JSX", 0, 309, 0, 7, 45, 361
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/facility/page.jsx", "JavaScript JSX", 0, 294, 0, 7, 52, 353
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/layout.jsx", "JavaScript JSX", 0, 22, 0, 0, 2, 24
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/page.jsx", "JavaScript JSX", 0, 34, 0, 1, 11, 46
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/sales/page.jsx", "JavaScript JSX", 0, 309, 0, 15, 46, 370
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/admin/stock/page.jsx", "JavaScript JSX", 0, 231, 0, 17, 42, 290
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/auditor/factory-orders/page.jsx", "JavaScript JSX", 0, 7, 0, 0, 3, 10
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/auditor/inventory-transactions/page.jsx", "JavaScript JSX", 0, 7, 0, 0, 3, 10
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/auditor/layout.jsx", "JavaScript JSX", 0, 26, 0, 0, 5, 31
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/auditor/page.jsx", "JavaScript JSX", 0, 46, 0, 0, 14, 60
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/auditor/sales/page.jsx", "JavaScript JSX", 0, 68, 0, 2, 30, 100
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/no_page.jsx", "JavaScript JSX", 0, 46, 0, 0, 14, 60
"/home/vis/Desktop/dbms_project/frontend/src/app/dashboard/store-employee/add-sale/page.jsx", "JavaScript JSX", 0, 7, 0, 0, 3, 10
